Dispensary Name	License Name	License	City	Times on List
Amped Dispensary	Amped Dispensary	OCM-MICR-25-000288	Amherst	3
BK Exotic	BK Exotic Outlet LLC	OCM-CAURD-24-000048	Brooklyn	3
Brooklyn Organic Buds	Brooklyn Organic Buds LLC	OCM-CAURD-24-000130	Brooklyn	3
Brooklyn Urban Dispensary	Brooklyn Urban Dispensary	OCM-CAURD-26-000325	Brooklyn	3
Brown Budda New York	Brown Budda New York	OCM-CAURD-24-000157	Southampton	3
Bud City Cannabis	Bud City Cannabis LLC	OCM-RETL-24-000063	Brooklyn	3
Canna Planet Ellenville	Ellenville Cannabis LLC	OCM-RETL-24-000168	Ellenville	3
Canna Planet Newburgh	Cannabliss Recreational LLC	OCM-RETL-24-000091	Newburgh	3
Capital District Cannabis & Wellness Inc.	Capital District Cannabis & Wellness Inc.	OCM-CAURD-23-000028	Albany	3
Coney Island Cannabis	MZDZ Corp	OCM-RETL-24-000096	Brooklyn	3
Cotton Mouth Dispensary	Solo Greenery	OCM-CAURD-25-000227	Binghamton	3
Dazed	Florisun LLC	OCM-CAURD-23-000008	New York	3
Dazed Albany	Dazed Albany	OCM-CAURD-26-000347	Loudonville	3
Dazed Syracuse	Dazed Syracuse	OCM-RETL-24-000227	Syracuse	3
Flower Power Dispensers Maspeth	Flower Power Dispensers Maspeth	OCM-CAURD-25-000309	Maspeth	3
Fluent	Etain, LLC	MM0408D	White Plains	3
Fluent Kingston	Etain, LLC.	MM0403D	Kingston	3
Fluent Manhattan	Etain, LLC.	MM0407D	New York	3
FlynnStoned Greenpoint	Altitude NY LLC	OCM-RETL-24-000121	Brooklyn	3
FlynnStoned Rochester	Lisa Birnbaum Personal Training, LLC	OCM-RETL-24-000108	Rochester	3
Freshly Baked NYC	DNP-Y Inc	OCM-CAURD-24-000137	Bronx	3
Good Grades, LLC	Good Grades, LLC	OCM-CAURD-23-000007	Jamaica	3
Good Life Buffalo	RKWS, LLC	OCM-RETL-24-000187	Buffalo	3
Gotham Buds	Gotham Buds LLC	OCM-CAURD-23-000023	New York	3
Green Comfort Dispensary	Green Comfort Inc.	OCM-RETL-25-000302	Rochester	3
