Account,City,Orders,Gross Sales,Last Ordered,Owner
Capital District Cannabis & Wellness Schenectady,Schenectady,20,569338.50,2026-09-21,M. Okafor
Mango Cannabis,Henrietta,11,395491.50,2026-09-15,S. Lindqvist
Leafy Peaks,Waterford,36,346544.55,2026-09-17,A. Torres
Cannalicious LLC,Brooklyn,7,224524.00,2026-09-13,J. Brady
The High Life Dispensary,West Babylon,8,177935.63,2026-09-13,A. Torres
King of Budz,Cheektowaga,31,167593.61,2026-09-18,A. Torres
Good Life Collective Batavia,Batavia,32,154355.00,2026-09-19,A. Torres
Herbarium Queens,Ridgewood,36,148235.64,2026-09-19,M. Okafor
The Herb Cave,Plattsburgh,14,141455.08,2026-09-20,J. Brady
Sky High Club,New York,38,140921.00,2026-09-21,A. Torres
Twenty8gramz,Brooklyn,34,136402.14,2026-09-21,A. Torres
ConBud LES,New York,24,134076.74,2026-09-21,S. Lindqvist
Capital District Cannabis & Wellness Halfmoon,Clifton Park,7,128241.00,2026-09-09,J. Brady
Indoor Treez Corp.,New York,5,112627.61,2026-09-06,S. Lindqvist
Silver Cannabis Company Saratoga Springs,Saratoga Springs,17,109280.23,2026-09-17,M. Okafor
High Cloudz,,33,97662.50,2026-08-13,M. Okafor
High Society Dispensary LLC,Hudson Falls,15,82142.00,2026-08-24,A. Torres
Union Chill,Corning,35,81852.96,2026-09-20,J. Brady
Sage Seeds,Jamaica,12,77780.15,2026-09-13,S. Lindqvist
Dutchess Roots,Poughkeepsie,17,74534.59,2026-09-22,S. Lindqvist
RR Legacy Dispensary,Glens Falls,18,68335.00,2026-09-17,M. Okafor
The Kokoro Way LLC,Kenmore,8,64360.00,2026-09-13,A. Torres
Cloud 9 Evolution,Schenectady,8,60776.50,2026-09-18,S. Lindqvist
Domes Dispensary,Kingston,16,60146.23,2026-09-18,S. Lindqvist
Lenox Hill Cannabis Co.,New York,12,59784.00,2026-09-21,J. Brady
Smokey Paradise,East Greenbush,25,58855.50,2026-09-20,S. Lindqvist
Cannabicity Albany,Albany,14,56824.56,2026-09-15,M. Okafor
Cannabicity Schenectady,Schenectady,12,56757.81,2026-09-13,M. Okafor
William Jane,Ithaca,15,54669.00,2026-09-04,M. Okafor
Urban Weeds LLC,Astoria,16,54607.07,2026-09-14,S. Lindqvist
ConBud Yankee Stadium,Bronx,12,54210.00,2026-09-12,S. Lindqvist
My Bud 420 Inc.,Bronx,6,51885.01,2026-09-09,M. Okafor
The People's Joint,Schenectady,23,51117.51,2026-09-19,M. Okafor
Kushmart Kings Highway,Brooklyn,8,49891.78,2026-09-11,S. Lindqvist
Guardian Wellness LLC,Bronx,24,49427.54,2026-09-19,M. Okafor
Peace of Woodstock,Coram,15,49005.92,2026-09-15,M. Okafor
Diamond Tree Dispensary,Syracuse,8,48501.01,2026-09-17,A. Torres
Kushmart Avenue U,Brooklyn,6,47862.05,2026-09-08,S. Lindqvist
