Retailer,License Number,Order #,Order Date,Fulfillment Status,Brand,Product,Units,Unit Price,Net Sales,Payment Terms,Sales Rep,Market
The THC Shop Brooklyn,OCM-RETL-24-000006,931314,2026-06-15,Delivered,Dragonfly,Dragonfly | 1g Preroll (50ct) | Blue Nerds,100,3.50,350.00,Net 30,M. Okafor,New York
The THC Shop Brooklyn,OCM-RETL-24-000006,931314,2026-06-15,Delivered,Dragonfly,Dragonfly | 1g Vape Cart (50ct) | Unicorn Piss,50,12.50,625.00,Net 30,S. Lindqvist,New York
The THC Shop Brooklyn,OCM-RETL-24-000006,931314,2026-06-15,Delivered,Dragonfly,Dragonfly | 1.25g Infused Preroll | Melon Gum,50,5.00,250.00,Net 30,J. Brady,New York
The THC Shop Brooklyn,OCM-RETL-24-000006,931314,2026-06-15,Delivered,Dragonfly,Dragonfly | Flower | 28g | Blue Dream,10,80.00,800.00,COD,M. Okafor,New York
The THC Shop Brooklyn,OCM-RETL-24-000006,931314,2026-06-15,Delivered,Dragonfly,Dragonfly | Infused Multipack 10pk (1.25g) | S'mores,20,40.00,800.00,Net 30,A. Torres,New York
The THC Shop Brooklyn,OCM-RETL-24-000006,931314,2026-06-15,Delivered,Dragonfly,Dragonfly | 1g Preroll (50ct) | Zlushi,100,3.50,350.00,Net 30,M. Okafor,New York
The THC Shop Brooklyn,OCM-RETL-24-000006,931314,2026-06-15,Delivered,Dragonfly,Dragonfly | 1g Preroll (50ct) | Tahiti Lime,150,3.50,525.00,Net 15,S. Lindqvist,New York
The THC Shop Brooklyn,OCM-RETL-24-000006,931314,2026-06-15,Delivered,Dragonfly,Dragonfly | Infused Multipack 10pk (1.25g) | Strawberry Kiwi,20,40.00,800.00,Net 30,A. Torres,New York
The THC Shop Brooklyn,OCM-RETL-24-000006,931314,2026-06-15,Delivered,Dragonfly,Dragonfly | 1.25g Infused Preroll | Blackberry Sherbet,50,5.00,250.00,Net 15,M. Okafor,New York
The THC Shop Brooklyn,OCM-RETL-24-000006,931314,2026-06-15,Delivered,Dragonfly,Dragonfly | 1g Preroll (50ct) | Berry White,100,3.50,350.00,Net 15,J. Brady,New York
The Goodie Bag,OCM-RETL-25-000394,931305,2026-06-15,Delivered,Dragonfly,Dragonfly | 1g Preroll (50ct) | Berry White,49,3.50,171.50,Net 30,M. Okafor,New York
The Goodie Bag,OCM-RETL-25-000394,931305,2026-06-15,Delivered,Dragonfly,Dragonfly | 1g Preroll (50ct) | Zlushi,49,3.50,171.50,Net 15,M. Okafor,New York
The Goodie Bag,OCM-RETL-25-000394,931305,2026-06-15,Delivered,Dragonfly,Dragonfly | 1g Preroll (50ct) | Tahiti Lime,49,3.50,171.50,Net 30,A. Torres,New York
The Goodie Bag,OCM-RETL-25-000394,931305,2026-06-15,Delivered,Dragonfly,Dragonfly | 1g All-In-One Vape | Forbidden Fruit,25,15.00,375.00,COD,J. Brady,New York
The Goodie Bag,OCM-RETL-25-000394,931305,2026-06-15,Delivered,Dragonfly,Dragonfly | 1g All-In-One Vape | Lychee Dream,50,15.00,750.00,Net 30,J. Brady,New York
The Goodie Bag,OCM-RETL-25-000394,931305,2026-06-15,Delivered,Dragonfly,Dragonfly | 1g Preroll (50ct) | Blue Nerds,49,3.50,171.50,Net 15,J. Brady,New York
The Goodie Bag,OCM-RETL-25-000394,931305,2026-06-15,Delivered,Dragonfly,Dragonfly Display Kit - AIO,1,0.01,0.01,COD,S. Lindqvist,New York
The Goodie Bag,OCM-RETL-25-000394,931305,2026-06-15,Delivered,Dragonfly,Dragonfly | 1g All-In-One Vape | Tahiti Breeze,25,15.00,375.00,Net 30,J. Brady,New York
Dansville Dispensary,OCM-RETL-25-000307,931301,2026-06-15,Delivered,Dragonfly,Dragonfly | 1g Preroll (50ct) | Blue Nerds,150,3.50,525.00,COD,M. Okafor,New York
Dansville Dispensary,OCM-RETL-25-000307,931301,2026-06-15,Delivered,Dragonfly,Dragonfly | 1g Preroll (50ct) | Sutter,100,3.50,350.00,COD,S. Lindqvist,New York
Dansville Dispensary,OCM-RETL-25-000307,931301,2026-06-15,Delivered,Dragonfly,Dragonfly | 1g Preroll (50ct) | Tahiti Lime,150,3.50,525.00,COD,S. Lindqvist,New York
Dansville Dispensary,OCM-RETL-25-000307,931301,2026-06-15,Delivered,Dragonfly,Dragonfly Display Kit - Preroll,1,0.01,0.01,Net 30,S. Lindqvist,New York
Dansville Dispensary,OCM-RETL-25-000307,931301,2026-06-15,Delivered,Dragonfly,Dragonfly | 1g Preroll (50ct) | Berry White,100,3.50,350.00,COD,M. Okafor,New York
Dansville Dispensary,OCM-RETL-25-000307,931301,2026-06-15,Delivered,Dragonfly,Dragonfly | 1g Preroll (50ct) | Zlushi,100,3.50,350.00,Net 15,J. Brady,New York
High Society Dispensary LLC,OCM-CAURD-24-000171,931283,2026-06-15,Delivered,Dragonfly,Dragonfly | 1g Preroll (50ct) | Sutter,100,3.50,350.00,Net 30,J. Brady,New York
High Society Dispensary LLC,OCM-CAURD-24-000171,931283,2026-06-15,Delivered,Dragonfly,Dragonfly | 1g Preroll (50ct) | Tahiti Lime,200,3.50,700.00,Net 30,A. Torres,New York
High Society Dispensary LLC,OCM-CAURD-24-000171,931283,2026-06-15,Delivered,Dragonfly,Dragonfly | Infused Multipack 10pk (1.25g) | Melon Gum,20,40.00,800.00,Net 30,S. Lindqvist,New York
High Society Dispensary LLC,OCM-CAURD-24-000171,931283,2026-06-15,Delivered,Dragonfly,Dragonfly | 1.25g Infused Preroll | Melon Gum,200,5.00,1000.00,Net 30,S. Lindqvist,New York
High Society Dispensary LLC,OCM-CAURD-24-000171,931283,2026-06-15,Delivered,Dragonfly,Dragonfly | Infused Multipack 10pk (1.25g) | S'mores,20,40.00,800.00,Net 15,S. Lindqvist,New York
